"","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Fine_STE","Fine_STE_rank"
"180","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","Capniinae","ZZZ","ZZZ","ZZZ","ZZZ","Capnia","ZZZ","ZZZ","ZZZ","ZZZ","Capnia","Genus"
"181","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Plecoptera","Euholognatha","ZZZ","ZZZ","Capniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Capniidae","Family"
"195","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Palaeoptera","ZZZ","Ephemeroptera","Pisciforma","ZZZ","ZZZ","Baetidae","ZZZ","ZZZ","ZZZ","Centroptilum/Procloeon","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Centroptilum/Procloeon","Genus.Group"
"207","Mollusca","ZZZ","ZZZ","Bivalvia","Heterodonta","ZZZ","ZZZ","Veneroida","ZZZ","ZZZ","Chamoidea","Chamidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chama","ZZZ","ZZZ","ZZZ","ZZZ","Chama","Genus"
"212","Arthropoda","Chelicerata","ZZZ","Arachnida","ZZZ","ZZZ","ZZZ","Pseudoscorpiones","Iocheirata","ZZZ","Cheliferoidea","Cheliferidae","Cheliferinae","ZZZ","ZZZ","ZZZ","ZZZ","Chelifer","ZZZ","ZZZ","ZZZ","ZZZ","Chelifer","Genus"
"215","Arthropoda","Chelicerata","ZZZ","Arachnida","Acari","ZZZ","Acariformes","Trombidiformes","Prostigmata","ZZZ","ZZZ","Athienemanniidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chelomideopsis","ZZZ","ZZZ","ZZZ","ZZZ","Chelomideopsis","Genus"
"224","Mollusca","ZZZ","ZZZ","Bivalvia","Pteriomorphia","ZZZ","ZZZ","Ostreoida","ZZZ","ZZZ","ZZZ","Pectinidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Chlamys","ZZZ","ZZZ","ZZZ","ZZZ","Chlamys","Genus"
"231","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Hemiptera","Sternorrhyncha","ZZZ","Aphidoidea","Aphididae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Cinara","ZZZ","ZZZ","ZZZ","ZZZ","Cinara","Genus"
"246","Arthropoda","Hexapoda","ZZZ","Insecta","Pterygota","Neoptera","ZZZ","Coleoptera","Adephaga","ZZZ","ZZZ","Rhysodidae","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Clinidium","ZZZ","ZZZ","ZZZ","ZZZ","Clinidium","Genus"
"252","Annelida","ZZZ","ZZZ","Clitellata","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","ZZZ","Clitellata","Class"
