"","Fine_STE","Medium_STE","Coarse_STE","OTU_MetricCalc","Mapped.Taxon.Serial.Number","Taxon","Taxon.Serial.Number","Phylum","Subphylum","Superclass","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Custom.Subfamily","Tribe","Genus.Group","Subtribe","Genus","Species.Group","Subgenus","Species","Subspecies","Exclusion_reason","Excluded","Coarse_STE_rank","Medium_STE_rank","Fine_STE_rank","Coarse_STE_attribute_use","Medium_STE_attribute_use","Fine_STE_attribute_use","Coarse_STE_HBI_use","Medium_STE_HBI_use","Fine_STE_HBI_use","Coarse_STE_MTI_use","Medium_STE_MTI_use","Fine_STE_MTI_use","Coarse_STE_FSBI_use","Medium_STE_FSBI_use","Fine_STE_FSBI_use","Coarse_STE_FSBI_use2","Medium_STE_FSBI_use2","Fine_STE_FSBI_use2"
"610","Hydroporinae","Hydroporinae","Dytiscidae","Hydroporinae",678402,"Hydroporini",728229,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Hydroporinae","Hydroporinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Hydroporinae","Hydroporinae","Dytiscidae","Hydroporinae",678402,"Hydroporus",112390,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Hydroporinae","","","","","","","","","",NA,NA,"Family","Subfamily","Subfamily","Dytiscidae","Hydroporinae","Hydroporinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",115453,"Hydropsyche (Hydropsyche)",598727,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","","","",NA,NA,"Genus","Genus","Genus","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",NA,NA,NA,"Hydropsyche","Hydropsyche","Hydropsyche"
"613","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",115453,"Hydropsyche",115453,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","","","",NA,NA,"Genus","Genus","Genus","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",NA,NA,NA,"Hydropsyche","Hydropsyche","Hydropsyche"
"614","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",115453,"Ceratopsyche",115570,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","","","",NA,NA,"Genus","Genus","Genus","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",NA,NA,NA,"Hydropsyche","Hydropsyche","Hydropsyche"
"615","Hydropsyche breviculata","Hydropsyche","Hydropsyche","Hydropsyche breviculata",599778,"Hydropsyche breviculata",599778,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","Hydropsychinae","","","","","Hydropsyche","","Hydropsyche","breviculata","",NA,NA,"Genus","Genus","Species","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche","Hydropsyche",NA,NA,NA,"Hydropsyche","Hydropsyche","Hydropsyche"
"616","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae",115398,"Hydropsychinae",598191,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae",115398,"Hydropsychidae",115398,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","Hydropsychidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae","Hydropsychidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Hydropsychoidea","Hydropsychoidea","Hydropsychoidea","Hydropsychoidea",598158,"Hydropsychoidea",598158,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydropsychoidea","","","","","","","","","","","",NA,NA,"Superfamily","Superfamily","Superfamily","Trichoptera","Trichoptera","Trichoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Hydroptila","Hydroptila","Hydroptila","Hydroptila",115641,"Hydroptila",115641,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","","",NA,NA,"Genus","Genus","Genus","Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila"
"620","Hydroptila brailovskyi","Hydroptila","Hydroptila","Hydroptila brailovskyi",606441,"Hydroptila brailovskyi",606441,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","brailovskyi","",NA,NA,"Genus","Genus","Species","Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila"
"621","Hydroptila catamarcensis","Hydroptila","Hydroptila","Hydroptila catamarcensis",606454,"Hydroptila catamarcensis",606454,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","Hydroptilinae","","Hydroptilini","","","Hydroptila","","","catamarcensis","",NA,NA,"Genus","Genus","Species","Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila",NA,NA,NA,"Hydroptila","Hydroptila","Hydroptila"
"622","Hydroptilidae","Hydroptilidae","Hydroptilidae","Hydroptilidae",115629,"Hydroptilidae sp. AJF#01",-210,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Hydroptilidae","Hydroptilidae","Hydroptilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Hydroptilidae","Hydroptilidae","Hydroptilidae","Hydroptilidae",115629,"Hydroptilidae",115629,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Hydroptilidae","Hydroptilidae","Hydroptilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","Hydroptilidae","Hydroptilidae","Hydroptilidae","Hydroptilidae",115629,"Hydroptilidae sp. AJF#02",-211,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","","","Hydroptiloidea","Hydroptilidae","","","","","","","","","","",NA,NA,"Family","Family","Family","Hydroptilidae","Hydroptilidae","Hydroptilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Hydrosmittia","Orthocladiinae","Chironomidae","Hydrosmittia",-196,"Hydrosmittia",-196,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Hydrosmittia","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Orthocladiinae","Chironomidae","Orthocladiinae","Orthocladiinae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Hydrovolzia","Acari","Acari","Hydrovolzia",83119,"Hydrovolzia",83119,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hydrovolziidae","","","","","","Hydrovolzia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Hydryphantes","Acari","Acari","Hydryphantes",83213,"Hydryphantes",83213,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hydryphantidae","","","","","","Hydryphantes","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"628","Hydryphantidae","Acari","Acari","Hydryphantidae",83212,"Hydryphantidae",83212,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hydryphantidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Hydryphantidae","Acari","Acari","Panisus",895807,"Panisus",895807,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hydryphantidae","","","","","","","","","Panisus","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Hygrobates","Acari","Acari","Hygrobates",83297,"Hygrobates",83297,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hygrobatidae","","","","","","Hygrobates","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Hygrobates",NA,NA,"Hygrobatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Hygrobatidae","Acari","Acari","Hygrobatidae",83281,"Hygrobatidae",83281,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Hygrobatidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Hygrobatidae",NA,NA,"Hygrobatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Ilyodrilus","Tubificidae","Oligochaeta","Ilyodrilus",68660,"Ilyodrilus",68660,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Ilyodrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Ilyodrilus","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Ilyodrilus","Tubificidae","Oligochaeta","Ilyodrilus",68660,"Ilyodrilus templetoni",68662,"Annelida","","","Clitellata","Oligochaeta","","","Haplotaxida","Tubificina","","","Tubificidae","","","","","","Ilyodrilus","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Tubificidae","Ilyodrilus","Oligochaeta","Tubificidae","Tubificidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","Integripalpia","Integripalpia","Integripalpia","Integripalpia",-204,"Integripalpia",-204,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Trichoptera","Integripalpia","","","","","","","","","","","","","",NA,NA,"Suborder","Suborder","Suborder","Trichoptera","Trichoptera","Trichoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Irodes","Irodes","Irodes","Irodes",667334,"Irodes",667334,"Arthropoda","Crustacea","","Maxillopoda","Copepoda","Neocopepoda","Podoplea","Poecilostomatoida","","","","Taeniacanthidae","","","","","","Irodes","","","","","Copepoda",TRUE,"Genus","Genus","Genus","Copepoda","Copepoda","Copepoda","Copepoda","Copepoda","Copepoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Ironodes","Ironodes","Ironodes","Ironodes",100666,"Ironodes",100666,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Heptageniidae","","","","","","Ironodes","","","","",NA,NA,"Genus","Genus","Genus","Ironodes","Ironodes","Ironodes","Ironodes","Ironodes","Ironodes",NA,NA,NA,"Ironodes","Ironodes","Ironodes","Ironodes","Ironodes","Ironodes"
"637","Isaea","Isaea","Isaea","Isaea",94114,"Isaea",94114,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","","","Isaeidae","","","","","","Isaea","","","","",NA,NA,"Genus","Genus","Genus","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda","Amphipoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Isogenoides","Isogenoides","Isogenoides","Isogenoides",103124,"Isogenoides",103124,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Perlodini","","","Isogenoides","","","","",NA,NA,"Genus","Genus","Genus","Perlodidae","Perlodidae","Perlodidae","Isogenoides","Isogenoides","Isogenoides","Isogenoides","Isogenoides","Isogenoides",NA,NA,NA,NA,NA,NA
"639","Isonychia","Isonychia","Isonychia","Isonychia",101041,"Isonychia",101041,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Setisura","","","Isonychiidae","","","","","","Isonychia","","","","",NA,NA,"Genus","Genus","Genus","Ephemeroptera","Ephemeroptera","Ephemeroptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Isoperla","Isoperla","Isoperla","Isoperla",102995,"Isoperla",102995,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Isoperlinae","","","","","Isoperla","","","","",NA,NA,"Genus","Genus","Genus","Isoperla","Isoperla","Isoperla","Isoperla","Isoperla","Isoperla",NA,NA,NA,NA,NA,NA,"Isoperla","Isoperla","Isoperla"
"641","Isoperla","Isoperla","Isoperla","Isoperla",102995,"Isoperla lata",103015,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Isoperlinae","","","","","Isoperla","","","","",NA,NA,"Genus","Genus","Genus","Isoperla","Isoperla","Isoperla","Isoperla","Isoperla","Isoperla",NA,NA,NA,NA,NA,NA,"Isoperla","Isoperla","Isoperla"
"642","Isopoda","Isopoda","Isopoda","Isopoda",92120,"Isopoda",92120,"Arthropoda","Crustacea","","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","","","","","","","","","","","","","","","Isopoda",TRUE,"Order","Order","Order","Isopoda","Isopoda","Isopoda","Isopoda","Isopoda","Isopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Isops","Isops","Isops","Isops",659262,"Isops",659262,"Porifera","","","Demospongiae","","","","Astrophorida","","","","Geodiidae","","","","","","Isops","","","","",NA,NA,"Genus","Genus","Genus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Iswaeon","Iswaeon","Iswaeon","Iswaeon",776928,"Iswaeon",776928,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","","","","Iswaeon","",NA,NA,"Species","Species","Species","Baetidae","Baetidae","Baetidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Juga","Juga","Pleuroceridae","Juga",71570,"Elimia",71654,"Mollusca","","","Gastropoda","","","","Neotaenioglossa","","","","Pleuroceridae","","","","","","Juga","","","","",NA,NA,"Family","Genus","Genus","Gastropoda","Juga","Juga","Gastropoda","Juga","Juga",NA,NA,NA,NA,NA,NA,NA,"Juga","Juga"
"646","Juga","Juga","Pleuroceridae","Juga",71570,"Juga",71570,"Mollusca","","","Gastropoda","","","","Neotaenioglossa","","","","Pleuroceridae","","","","","","Juga","","","","",NA,NA,"Family","Genus","Genus","Gastropoda","Juga","Juga","Gastropoda","Juga","Juga",NA,NA,NA,NA,NA,NA,NA,"Juga","Juga"
"647","Kathroperla","Kathroperla","Kathroperla","Kathroperla",103236,"Kathroperla perdita",103237,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Paraperlinae","","","","","Kathroperla","","","","",NA,NA,"Genus","Genus","Genus","Kathroperla","Kathroperla","Kathroperla","Kathroperla","Kathroperla","Kathroperla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Kathroperla","Kathroperla","Kathroperla","Kathroperla",103236,"Kathroperla",103236,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Chloroperlidae","Paraperlinae","","","","","Kathroperla","","","","",NA,NA,"Genus","Genus","Genus","Kathroperla","Kathroperla","Kathroperla","Kathroperla","Kathroperla","Kathroperla",NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Kiefferulus","Chironomini","Chironomidae","Kiefferulus",129522,"Kiefferulus",129522,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Chironominae","","Chironomini","","","Kiefferulus","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Chironomini","Chironomini","Chironomidae","Chironomidae","Chironomidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Kincaidiana","Lumbriculidae","Oligochaeta","Kincaidiana",68470,"Kincaidiana hexatheca",68471,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Kincaidiana","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Kincaidiana","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"651","Kincaidiana","Lumbriculidae","Oligochaeta","Kincaidiana",68470,"Kincaidiana",68470,"Annelida","","","Clitellata","Oligochaeta","","","Lumbriculida","","","","Lumbriculidae","","","","","","Kincaidiana","","","","",NA,NA,"Subclass","Family","Genus","Oligochaeta","Lumbriculidae","Kincaidiana","Oligochaeta","Lumbriculidae","Lumbriculidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Koenikea","Acari","Acari","Koenikea",83093,"Koenikea",83093,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Unionicolidae","","","","","","Koenikea","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Rickera sorpta",103190,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Kogotus nonus",103150,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Kogotus",103149,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Kogotus/Rickera",-20,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera",-20,"Rickera",103189,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Plecoptera","Systellognatha","","","Perlodidae","Perlodinae","","Diploperlini","Kogotus/Rickera","","","","","","",NA,NA,"Genus.Group","Genus.Group","Genus.Group","Kogotus/Rickera","Kogotus/Rickera","Kogotus/Rickera","Perlodidae","Perlodidae","Perlodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","Kongsbergia","Acari","Acari","Kongsbergia",83000,"Kongsbergia",83000,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Aturidae","","","","","","Kongsbergia","","","","","Acari",FALSE,"Subclass","Subclass","Genus","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","Krendowskiidae","Acari","Acari","Krendowskiidae",83499,"Krendowskiidae",83499,"Arthropoda","Chelicerata","","Arachnida","Acari","","Acariformes","Trombidiformes","Prostigmata","","","Krendowskiidae","","","","","","","","","","","Acari",FALSE,"Subclass","Subclass","Family","Acari","Acari","Trombidiformes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Krenopelopia","Pentaneurini","Chironomidae","Krenopelopia",128170,"Krenopelopia",128170,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Krenopelopia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Pentaneurini","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Krenosmittia","Orthocladiinae","Chironomidae","Krenosmittia",128771,"Krenosmittia",128771,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Orthocladiinae","","","","","Krenosmittia","","","","",NA,NA,"Family","Subfamily","Genus","Chironomidae","Orthocladiinae","Krenosmittia","Chironomidae","Orthocladiinae","Krenosmittia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",568552,"Labiobaetis",568552,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","","",NA,NA,"Genus","Genus","Genus","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",568552,"Pseudocloeon propinquum",568681,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","","",NA,NA,"Genus","Genus","Genus","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",568552,"Labiobaetis sonajuventus",-169,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","","",NA,NA,"Genus","Genus","Genus","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",568552,"Pseudocloeon",100771,"Arthropoda","Hexapoda","","Insecta","Pterygota","Palaeoptera","","Ephemeroptera","Pisciforma","","","Baetidae","","","","","","Labiobaetis","","","","",NA,NA,"Genus","Genus","Genus","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis","Labiobaetis",NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Labrundinia","Pentaneurini","Chironomidae","Labrundinia",128173,"Labrundinia",128173,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Diptera","Nematocera","Culicomorpha","","Chironomidae","Tanypodinae","","Pentaneurini","","","Labrundinia","","","","",NA,NA,"Family","Tribe","Genus","Chironomidae","Pentaneurini","Pentaneurini","Chironomidae","Pentaneurini","Pentaneurini",NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Laccobius","Laccobius","Laccobius","Laccobius",112858,"Laccobius",112858,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Staphyliniformia","Hydrophiloidea","Hydrophilidae","Hydrophilinae","","Laccobiini","","","Laccobius","","","","",NA,NA,"Genus","Genus","Genus","Laccobius","Laccobius","Laccobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Laccophilus","Laccophilus","Dytiscidae","Laccophilus",112278,"Laccophilus",112278,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Adephaga","","","Dytiscidae","Laccophilinae","","Laccophilini","","","Laccophilus","","","","",NA,NA,"Family","Genus","Genus","Dytiscidae","Laccophilus","Laccophilus",NA,"Laccophilus","Laccophilus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Lampyridae","Lampyridae","Lampyridae","Lampyridae",113835,"Lampyridae",113835,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Elateroidea","Lampyridae","","","","","","","","","","","Lampyridae",TRUE,"Family","Family","Family","Coleoptera","Coleoptera","Coleoptera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Lanx","Lanx","Lymnaeidae","Lanx",76477,"Lanx",76477,"Mollusca","","","Gastropoda","","","","Basommatophora","","","","Lymnaeidae","","","","","","Lanx","","","","",NA,NA,"Family","Genus","Genus","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lymnaeidae","Lanx","Lanx",NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Lara","Lara","Lara","Lara",114137,"Lara",114137,"Arthropoda","Hexapoda","","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga","Elateriformia","Byrrhoidea","Elmidae","","","","","","Lara","","","","",NA,NA,"Genus","Genus","Genus","Lara","Lara","Lara","Elmidae","Elmidae","Elmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA
